tweet,created_at,id
"Estos 3 minutos de @EspejoPublico a @PedroRuiz_Photo contando las historias y los sentimientos que hay detrás de cada foto son una joya. No os lo perdáis. ¡Gracias, Pete! Yo también he perdido a un fotógrafo pero he ganado un gran amigo 😉📸 https://t.co/OU9eH1NKEw",Tue Dec 03 18:10:08 +0000 2019,1201926606069075968
😂😂😂 https://t.co/C2dJ2TjGwo,Sat Nov 30 17:39:22 +0000 2019,1200831698767888384
"Lo advertimos antes del 10N. 
El PSOE de Sánchez se ha convertido en la sucursal del PSC y los nacionalistas del PSC en los dueños del PSOE. Y todo para lograr un gobierno en coalición con populistas y en manos de separatistas. Mala noticia para España. https://t.co/tBEiL6bGRr",Tue Nov 26 11:17:34 +0000 2019,1199286065326149633
"¡Sois muy grandes, campeones! Habéis vuelto a poner el tenis español en lo más alto. ¡Gracias por hacernos sentir tan orgullosos y por hacernos disfrutar tanto! 
❤️💛❤️💪🏼🎾 #DavisCupMadridFinals
#DavisCupFinals https://t.co/uQnuBw6oUt",Sun Nov 24 20:37:25 +0000 2019,1198702182306062342
"Decía el presidente Kennedy que lo inteligente era rodearse de gente más inteligente que uno mismo. @davidmartinezg era uno de ellos en mi equipo, un periodista con olfato, íntegro y libre. Gracias, amigo, por contar aquí lo que hemos hecho juntos.  https://t.co/sTXDuCSLfl",Sun Nov 24 10:43:17 +0000 2019,1198552664814039040
"Me ha emocionado leer este reportaje sobre el gran trabajo de @PedroRuiz_Photo en estos cuatro años apasionantes a mi lado. Si queréis saber como han sido, no dejeis de verlo y leerlo. La vida son instantes y él los ha captado como nadie. Gracias, amigo. https://t.co/UU8Z6BxKON",Sat Nov 23 08:38:57 +0000 2019,1198158986148818944
"El honor ha sido mio, Ville. Eres un trabajador incansable y una de las mejores cabezas que he conocido para la negociación de acuerdos y para la política. Tu paso a un lado es una pérdida para la primera línea política pero es un ejemplo de sensatez y señorío. Un abrazo, amigo. https://t.co/Jn60QlPSUI",Thu Nov 21 10:44:18 +0000 2019,1197465754532274176
😂😂😂😂 https://t.co/w6HWXNG5VQ,Thu Nov 21 07:26:50 +0000 2019,1197416062649819136
"Se lo pregunté a Sánchez en julio en el Congreso. No respondió. Insistí en los debates electorales del #28A y del #10N. Y nada.

Hoy tenemos finalmente la #SentenciaERE del PSOE, nos han robado a los españoles millones y millones de euros.

¿Va a dimitir, señor Sánchez?
¿SÍ o NO? https://t.co/sTaTW1eBqW",Tue Nov 19 12:09:04 +0000 2019,1196762313468059648
"Gracias @lorenzo99 por habernos hecho disfrutar a tantos moteros con tus triunfos, tus adelantamientos y tus remontadas.
Tu pilotaje elegante y valiente nunca lo olvidaremos, ya eres leyenda. Un abrazo, amigo. #ThankYouJorge 🇪🇸 https://t.co/sFEUzUxoTf",Sun Nov 17 16:08:51 +0000 2019,1196097877514313734
"He servido a España durante años y ha sido lo más apasionante que he hecho en mi vida. Es la hora de dedicarme más a los míos: a mi hija, a mi pareja, a mis padres, a mis amigos.

La política ha sido importante para mí, pero hay vida y felicidad ahí fuera. https://t.co/WOn1Rz8rTI",Mon Nov 11 13:07:20 +0000 2019,1193877870034247682
"Creo que en un proyecto colectivo los éxitos son de todos y los malos resultados son responsabilidad del líder. Por eso me marcho. Para mí ser diputado ha sido un orgullo y un honor, no una nómina. 

Gracias a todos ❤️💛❤️

https://t.co/kwRfE01s1Q",Mon Nov 11 12:47:41 +0000 2019,1193872927877484545
"Servir a los españoles es lo más bonito que hay en el mundo.

GRACIAS a todos ❤️💛❤️ 

https://t.co/8nEDpCoBkL",Sun Nov 10 22:52:55 +0000 2019,1193662849945616385
