tweet,created_at,id
"Hay miles de profesionales de las fuerzas de seguridad que nos protegen. Es inaceptable que su imagen se pueda ver dañada por presuntos delincuentes. La democracia necesita una policía libre de cloacas 

https://t.co/qvq47KzHFB",Wed Dec 04 14:11:48 +0000 2019,1202229017753075712
Pasan los años y sigue latente la memoria de aquel #4deDiciembre en el que la Andalucía digna y valiente se movilizó masivamente por su autonomía y fue asesinado Manuel José García Caparrós. ¡Viva Andalucía Libre! https://t.co/YRr0mItYSq,Wed Dec 04 09:42:29 +0000 2019,1202161240853884928
Es un orgullo poder trabajar en esta #XIVLegislatura al servicio de la ciudadanía junto al resto de diputadas y diputados de Unidas Podemos. Sí se puede. https://t.co/r5z7neI5Zz,Tue Dec 03 14:56:02 +0000 2019,1201877758713962497
🍿 https://t.co/lo0KjWYGsW,Tue Dec 03 13:11:44 +0000 2019,1201851512059834368
"En Verín y su comarca están defendiendo su hospital y, con las mujeres y profesionales de la Sanidad pública a la cabeza, demandan la necesaria permanencia del servicio de atención al parto. 

Todo nuestro apoyo.
En Galicia, #VerinNONpecha https://t.co/TSVXsxYojf",Mon Dec 02 18:57:59 +0000 2019,1201576260129951746
"🏀 Se cumplen 30 años de la muerte de Fernando Martín, un gigante de nuestro baloncesto que en el Estudiantes, el Real Madrid, los Portland Trail Blazers y la selección española nos ayudó a muchos a enamorarnos de ese deporte. Siempre en el recuerdo. https://t.co/QHY5db2KnG",Mon Dec 02 16:08:38 +0000 2019,1201533642343878656
"Es urgente dar una respuesta al reto de la emergencia climática, una amenaza a la vida de todas las personas que habitan el planeta. La #COP25 debe servir para avanzar en la dirección que señala la sociedad civil: ecologismo, energías renovables y una economía más democrática. https://t.co/TrMNUiQfTg",Mon Dec 02 13:19:18 +0000 2019,1201491030333415424
"Estas portadas no hablan mal de Endesa, que tiene todo el derecho a comprárselas todas para hacerse publicidad. Pero creo que hacen mucho daño al prestigio de la prensa https://t.co/KLaCSe2MZh",Mon Dec 02 11:01:29 +0000 2019,1201456344466968578
"Me recomendó @jesusmarana ver “The loudest voice”. No sólo explica cómo funcionan los medios de comunicación reaccionarios. También explica sus apoyos, el fin del periodismo y señala lo que tendrá enfrente cualquier gobierno que quiera ser simplemente democrático https://t.co/NDmiOemRfC",Sat Nov 30 21:58:53 +0000 2019,1200897011697868800
Siguiendo con preocupación las noticias que llegan de Londres. Mi condena al salvaje ataque. Todo mi apoyo a las personas heridas y los allegados de las personas asesinadas.,Fri Nov 29 19:36:11 +0000 2019,1200498710674845696
"Hoy se ha emitido en @tuerka_ovt la entrevista que le hice al periodista Daniel Serrano, autor de 'Cal viva', en la que narra las últimas décadas de la historia de España a través de la mirada enfrentada de un padre y su hijo.

Aquí el programa completo: https://t.co/aAnIXtBXgu",Fri Nov 29 18:38:24 +0000 2019,1200484169928859648
"El periodista Daniel Serrano es el autor de la novela 'Cal viva', en la que repasa los años que van de la transición hasta hoy, pasando por el 15-M, a través del desencuentro entre un padre y su hijo.

Este viernes (18h) podréis ver la entrevista que le hice en @tuerka_ovt. https://t.co/FlHVdoWuWL",Thu Nov 28 19:23:23 +0000 2019,1200133102422626304
"Gracias a cada una de las 134.760 personas inscritas en Podemos que participaron en la consulta sobre el preacuerdo para la creación de un Gobierno de coalición progresista. 

En Podemos decide la gente.",Wed Nov 27 20:18:42 +0000 2019,1199784635200393216
"""No basta defender a los explotados, hay que curar al explotador su tisis de egoísmo"".

Se cumplen 21 años de la muerte de Gloria Fuertes, una escritora y poeta  que enseñó mucho a niños y mayores sobre la paz, la igualdad y el medio ambiente. https://t.co/MnelBHAIxW",Wed Nov 27 09:23:16 +0000 2019,1199619689300803584
"Mujeres Libres, organización que agrupó a más de 20.000 mujeres en los años 30, estuvo a la vanguardia de la defensa de los derechos de las mujeres. Su historia y sus logros merecen ser recordados. Y seguro que este libro de @beaasuargallego ayudará.
https://t.co/ulgWvhdbiQ https://t.co/XJFasuL41a",Tue Nov 26 18:22:00 +0000 2019,1199392877337399297
"Querido @Rafa_Hernando el único partido que en España tiene firmado un memorándum de “entemdimiento, intercambio y colaboración” con el Partido Comunista Chino es el PP 👇🏼 https://t.co/MQQmcKV0Lz",Tue Nov 26 14:29:26 +0000 2019,1199334352955543552
"En Podemos las personas inscritas toman las decisiones importantes. Hasta las 10h de mañana miércoles está abierta la consulta sobre la formación de un Gobierno de coalición progresista. Tu opinión importa. Tu voto hace Podemos.

📩 Participa aquí: https://t.co/kn5D3wYvsv https://t.co/x4Vg8zaJAM",Tue Nov 26 13:11:00 +0000 2019,1199314611536826369
"El #DiaContralaViolenciadeGenero comenzó con el asesinato de una mujer en Tenerife. Ya son más de 50 mujeres víctimas de la violencia machista en 2019, una cifra superior a la del año anterior. Movilicémonos y actuemos para poner fin a tanta brutalidad. #NiUnaMenos",Mon Nov 25 09:22:17 +0000 2019,1198894668412588032
Impresionante el equipo español en la #DavisCupMadridFinals. Mi enhorabuena a quienes siguen demostrando con fuerza y tesón que nuestro país es una potencia mundial del tenis. https://t.co/N3Qkbv1UJc,Mon Nov 25 07:23:37 +0000 2019,1198864800962555904
"📺 A las 22:15 se emite en @360Grados_ETB un programa, en el que participé, sobre el excomisario Villarejo y la sucia red de periodistas, empresarios, policías corruptos y políticos en la que estaba inmerso. 

🔴 Podréis ver el programa aquí: https://t.co/YzGf4FGP3p https://t.co/7dPlywY8Ox",Sun Nov 24 18:33:00 +0000 2019,1198670869746397184
