tweet,created_at,id
"¿Me puedes dar una sola razón por la que 52 diputados tengan que apoyar a 10, y no al revés ? 
Yo no la he encontrado. 
Pedirnos colaboración para excluirnos roza el insulto personal. 
No todo vale, Pablo. https://t.co/vCVGELEwAZ",Tue Dec 03 20:52:34 +0000 2019,1201967483080581122
"🚨 #ÚLTIMAHORA 🚨
VOX solicita a la Mesa del Congreso que rechace la validez de los acatamientos realizados por los separatistas.  No han sido juramentos sino conjuras contra la Constitución.

📰 Nota de prensa ➡ https://t.co/64HkZ6RaVG

📢 #PorEspañaSíJuro https://t.co/SVpAH89rTv",Tue Dec 03 18:46:48 +0000 2019,1201935834120957953
"Los separatistas tienen como aliados a la presidencia del Congreso y a la presidencia en funciones del Gobierno. Pero tienen enfrente a millones de españoles, a la soberanía, a la ley y también a VOX. Será una pelea dura y larga. Pero que nadie dude de que vamos a ganarles https://t.co/RVmqsvRQ9J",Tue Dec 03 16:39:32 +0000 2019,1201903807686426630
"El PP ha preferido darle inútilmente sus votos a Cs, en vez de al candidato de VOX. Es el único responsable de que el comunismo y el separatismo tengan un sitio más en la Mesa. 
Tomamos nota.",Tue Dec 03 13:03:29 +0000 2019,1201849436839841795
"Hoy primer día de #Los52deVOX en el Congreso. ""Por España, sí juro"" #PorEspañaSíJuro
¡Gracias por vuestra confianza! 🇪🇸 https://t.co/3Y4nssCwMd",Tue Dec 03 12:24:41 +0000 2019,1201839673620008960
"El PP pretende que votemos a Cs, mientras Cs le pide al PSOE que nos deje fuera. 
La veleta gira a toda velocidad en estos momentos. Lo curioso es que todavía nos traten de culpar a nosotros de su desconcierto y su indefinición. https://t.co/fcUj0CWzIe",Tue Dec 03 10:41:39 +0000 2019,1201813741316255744
"Nuevo desprecio del presidente (en funciones) hacia la Jefatura del Estado. No respeta ninguna institución, no tiene ningún escrúpulo, no está capacitado para presidir esta Nación.
https://t.co/BRGFHKiP4A",Tue Dec 03 10:32:23 +0000 2019,1201811411535646722
"Si el PP colabora con el cordón sanitario contra VOX, está en su derecho y tendrá que explicarlo a sus electores. Lo que no puede es amenazar con un cordón invisible para que VOX regale su puesto a un partido que tiene 10 escaños. Pueden cederlo ellos. Suena, otra vez, a chantaje",Tue Dec 03 07:27:33 +0000 2019,1201764897266245632
Hoy hace 365 días que en Andalucía comenzó todo. La #EspañaViva despertó pero aquello solo fue el principio. Seguimos adelante. https://t.co/fKL3vnYEr1,Mon Dec 02 20:37:27 +0000 2019,1201601292671565824
"Si Pedro Sánchez ""negocia"" la soberanía de España para obtener una investidura... Pedro Sánchez tendrá que responder ante un tribunal.  
https://t.co/CPi8MSJlWJ",Mon Dec 02 18:27:42 +0000 2019,1201568641210363905
"Un año manipulando, demonizando o censurando. Y en los últimos días, los medios aún se han vuelto mucho más agresivos con los votantes de VOX. Sus amos están nerviosos. Eso es que vamos por el buen camino. https://t.co/jiANpxOJPj",Mon Dec 02 10:19:58 +0000 2019,1201445897529372672
"Sólo ha pasado 1 año desde que VOX irrumpió en Andalucía para echar al socialismo corrupto
Gracias a nuestros afiliados y votantes. En 12 meses habéis cambiado la historia y, por muy oscuro que sea el presente, la #EspañaViva ha recobrado la esperanza. Y reconquistará su futuro https://t.co/8XzmmdbNYk",Mon Dec 02 09:14:37 +0000 2019,1201429452451909632
"El ""discurso del odio"" es cualquier palabra o pensamiento que ofenda a la nueva religión progre, que es el nuevo totalitarismo. Invocar nuestra libertad o defender nuestra identidad es ""discurso del odio"" para Merkel y para los progres de todos los partidos. https://t.co/WJQFvnWguZ",Sun Dec 01 06:18:29 +0000 2019,1201022738615472128
Llama centro-izquierda a ERC y Podemos....y ultraderecha a VOX. Viven en una realidad virtual..🤣🤣 https://t.co/ZNMszr6U99,Thu Nov 28 17:00:21 +0000 2019,1200097104758280192
"Los aliados de Sánchez no ocultan su intención de derribar la Constitución y la Corona. Ese parlamento, en absoluta rebeldía, debería estar cerrado desde hace 2 años. 
Una democracia que no se defiende de sus enemigos, desaparece. 
Una nación dispuesta a negociar su unidad, muere https://t.co/DmhN7t9RUd",Wed Nov 27 20:33:40 +0000 2019,1199788402759090177
"No es veto. Es justicia. En los últimos días un director de un programa nos ha llamado ""grandísimos hijos de puta"" y un director de un medio ha dicho que buscamos ""el voto de los maltratadores"". Solo defendemos a nuestros votantes. A pocos ""vetamos"" para todos los que lo merecen. https://t.co/XNyFa4Earm",Wed Nov 27 18:35:28 +0000 2019,1199758654637006848
"A España nunca se la podrá echar de tierra vasca, porque esa tierra es y será  siempre española. Los #52deVOX  recurriremos al Tribunal Constitucional y paralizaremos el Estatuto de la traición.
https://t.co/ZWDNL0LhUR",Wed Nov 27 11:35:54 +0000 2019,1199653068796780544
"Taparon la derrota el electoral con el abrazo de los derrotados y con el pacto que prometieron no hacer. Ahora quieren tapar la corrupción brutal de los ERE, las drogas y los prostíbulos con la  totalitaria ideología de género. Son adictos al despiste y la trampa. Están acabados.",Wed Nov 27 07:12:20 +0000 2019,1199586739863654400
Todo lo que están montando es pura hipocresía. Y aquí se demuestra perfectamente. https://t.co/ZudZKMKUEO,Tue Nov 26 20:07:15 +0000 2019,1199419366087036929
"Si el #PeónSánchez obtiene los votos de los golpistas para su investidura tendrá nuestra oposición frontal y total, en el parlamento y en las calles, junto a millones de españoles que no se dejarán pisotear por golpistas, comunistas, proetarras y corruptos. #EspañaViva 🇪🇸 https://t.co/9usvuRAs6L",Tue Nov 26 19:00:11 +0000 2019,1199402486580293632
"Si el PP y lo que queda de Cs siguen colaborando en el linchamiento mediático a VOX, y permiten el cordón sanitario para excluirnos de la Mesa del Congreso, entenderemos que han elegido a PSOE y Podemos para aprobar los presupuestos allí donde gobiernan.  Tampoco nos sorprendería",Tue Nov 26 18:17:17 +0000 2019,1199391691607810051
"Ningún  gobierno (y menos aún un proyecto de gobierno ) está legitimado para negociar nuestra soberanía. Si el PSOE lo acepta se convertirá directamente en cómplice del golpismo separatista. Y antes o después lo  tendrán que explicar delante de un tribunal
https://t.co/EunF7cO4e5",Tue Nov 26 09:00:56 +0000 2019,1199251682049318912
"Llevamos días soportando una cacería mediática despiadada, con la prensa lacaya retorciendo mensajes, montando encerronas y escraches, buscando destruir reputaciones e intentando romper familias. Son basura al servicio de sus amos y rabian porque cada día engañan a menos gente.💪🏻",Mon Nov 25 20:32:23 +0000 2019,1199063303399596033
