tweet,created_at,id
"Feliz día de Navarra, una comunidad fundamental en la construcción de España, como refleja nuestro escudo. No consentiremos su anexión al País Vasco, como pretenden los nacionalistas, ni la humillación a las víctimas del terrorismo que supone que el PSOE pacte con Bildu. https://t.co/ARoPPEB6Ab",Tue Dec 03 19:21:55 +0000 2019,1201944672618319872
El PP va a registrar una proposición de ley para volver a tipificar el delito de referéndum ilegal en el Código Penal. Podremos ver a qué Sánchez debemos creer: el que lo defendía en el debate antes de votar o al que se le olvidó 8 días después para congraciarse de nuevo con ERC. https://t.co/cK3jRrsF3R,Tue Dec 03 18:20:03 +0000 2019,1201929103454167049
"Registramos la comparecencia de Sánchez para que explique los ERE. 800M de engranaje corrupto para seguir en el poder y defraudar a los necesitados:
3 ministros fueron consejeros de Chaves y Griñán.
Los socialistas andaluces fueron claves en su elección como secretario general. https://t.co/rNLLMCzWPn",Tue Dec 03 18:07:05 +0000 2019,1201925838452772864
"Por culpa de Vox ha sido elegido Gerardo Pisarello, el que arrancó la bandera de España a los concejales del PP en el balcón del Ayuntamiento de Barcelona, en vez de José María Espejo, el que se enfrentaba a los golpistas en la Mesa del Parlament. https://t.co/D2279VcPdr",Tue Dec 03 17:51:28 +0000 2019,1201921908608053248
"El PSOE pedía un cordón sanitario a Vox pero le facilita entrar en la Mesa del Congreso.
Vox se quejaba de un cordón sanitario pero se lo aplica a Cs.

Al PSOE le conviene Vox para dividir a la derecha. Por eso usó las sentencias de Franco y el procés para alentar la fractura. https://t.co/qJBtY7AsVY",Tue Dec 03 17:34:20 +0000 2019,1201917599296217089
"Ya está bien que se permita denigrar las instituciones. La presidencia del Congreso falta a su responsabilidad, al no exigir que se acate legalmente la Constitución para adquirir la condición plena de diputado. Recurriremos en amparo al Tribunal Constitucional. https://t.co/htOrvV3ZiB",Tue Dec 03 17:14:04 +0000 2019,1201912495398629376
"En las elecciones ofrecimos España Suma a Cs y lo rechazaron, regalando dos victorias a Sánchez. Ayer ofrecimos un pacto para la Mesa del Congreso a Vox pero se negaron, regalando un representante a la izquierda. La división del centro y la derecha es el salvavidas de Sánchez. https://t.co/iLHBPqvu3w",Tue Dec 03 13:11:35 +0000 2019,1201851473858052096
"Un nuevo aviso de una crisis que Sánchez no sabe o no puede atajar:
-El paro aumenta 20.525 personas, su mayor alza desde 2016
-La afiliación cae 53.114 ocupados, la mayor desde 2013
-En términos desestacionalizados el paro sube 4.113 personas
-6.976 nuevas mujeres desempleadas https://t.co/6SF5maEIVT",Tue Dec 03 09:01:46 +0000 2019,1201788605171154945
"No podemos dar el poder a quien amenaza con destruir España y menos por amenazar con hacerlo. Solo por ello no merece el apoyo. El PSOE pretende resolver sus problemas convirtiéndolos en problemas de Estado: plurinacionalidad, relator, nación de naciones... no con nuestro voto. https://t.co/vZuKSiqrll",Mon Dec 02 22:59:44 +0000 2019,1201637100849905665
"SM el Rey ha recibido a las delegaciones #COP25 contra el Cambio Climático. El PP aprobó la Agenda 2030 y los Acuerdos de Kioto y París. Enhorabuena a los organizadores, entre los que la Presidenta y Alcalde, @IdiazAyuso @AlmeidaPP_ demuestran la capacidad de respuesta de Madrid. https://t.co/EwMTsqslgM",Mon Dec 02 21:35:59 +0000 2019,1201616020995215362
"Interesante reunión con @mauriciomacri, en la que hemos analizado la situación política en Argentina y en España, así como la amenaza del populismo para el conjunto de Latinoamérica que desestabiliza democracias, y solo garantiza pobreza y desigualdad. https://t.co/tR6n8L3d9e",Mon Dec 02 19:43:35 +0000 2019,1201587735733133312
"El PP, como hizo con España Suma, será generoso y ofrecerá sus votos a los constitucionalistas para que tengan representación en la Mesa del Parlamento. No vamos a participar de cordones sanitarios, más que a los herederos de Batasuna y separatistas con los que negocia Sánchez. https://t.co/sBtZl1KUqF",Mon Dec 02 19:14:11 +0000 2019,1201580337140305925
"No necesitamos menos España, ni menos PP. No aceptamos chantajes a costa de la soberanía nacional o nuestra continuidad para apuntalar la huida hacia delante de Sánchez. Ni le haremos Presidente, ni nadie va a cambiar el Sistema por las bravas con la excusa de que no lo apoyamos. https://t.co/CJiFpGrZQW",Mon Dec 02 17:43:39 +0000 2019,1201557553462861824
Se nos exige asumir un dilema perverso: o aceptamos desaparecer como alternativa al socialismo o Sánchez amenaza con hacernos desaparecer llevando adelante una mutación del sistema de la mano de la izquierda y el nacionalismo. Nos ofrece elegir cómo terminamos con España y el PP. https://t.co/5Fv9DYboEa,Mon Dec 02 17:33:26 +0000 2019,1201554984762036224
"El PSOE no reclama ayuda porque hace lo que desea. Impulsa su proyecto político con sus socios desde 2003, con el Pacto del Tinell. El PP asegura que todos los españoles seguirán conservando intacto su derecho a decidir sobre cualquier cambio en su Constitución. https://t.co/ww8oaO8bOw",Mon Dec 02 17:23:07 +0000 2019,1201552385790877696
"El problema de España no es que falte democracia, es que se negocia con los que atentan contra la democracia. La deslealtad hacia el sistema se eleva a argumento contra el propio sistema y no contra el desleal. https://t.co/N2kc2MjcvB",Mon Dec 02 17:07:59 +0000 2019,1201548579162279937
"Sánchez negocia con defensores del terrorismo y con delincuentes sediciosos. Pero, para algunos, el problema es el PP. Y ese cínico eclipse moral debe acabar. Sánchez no se va a comprar la Presidencia al precio de la soberanía nacional, ni al de acabar con el PP como alternativa. https://t.co/WpH0H9OVgz",Mon Dec 02 16:52:52 +0000 2019,1201544772529393665
"En 6 meses el PP incrementa 35% su representación, 23 diputados y 30 nuevos senadores. Recuperamos representación parlamentaria en todas las CCAA y en Cataluña somos el primer partido del ámbito constitucionalista. Tenemos experiencia de Gobierno, estamos preparados para gobernar https://t.co/RYl0lAEVoO",Mon Dec 02 15:59:23 +0000 2019,1201531313712447493
"Miguel Arias Cañete es el primer español líder mundial contra el cambio climático. Una referencia para el PP y el sector agroalimentario. Por mucho que la izquierda se disfrace de verde, el liderazgo medioambiental está en @populares. Gracias por tu trabajo, Comisario. Un abrazo. https://t.co/ogUzoIDXpR",Sun Dec 01 18:37:24 +0000 2019,1201208692542255104
"El Día de la Acción contra el Sida es una oportunidad para recordar a quienes han fallecido por esta enfermedad, crear conciencia para que las personas con VIH o Sida no sean estigmatizadas, y apoyar la investigación, la prevención y el diagnóstico precoz. 

#DíaMundialDelSida https://t.co/UaetiqjByf",Sun Dec 01 09:45:10 +0000 2019,1201074753903222784
"Nos sumamos al dolor por el terrible ataque terrorista que ha tenido lugar hoy en el Puente de Londres. Enviamos nuestras condolencias a los familiares y amigos de las víctimas, así como deseamos la pronta recuperación de los heridos.

https://t.co/7ffAxL23ur",Fri Nov 29 19:41:01 +0000 2019,1200499927102693376
