tweet,created_at,id
"El cruel y criminal zarpazo de la #ViolenciaDeGénero deja otra mujer asesinada, en Madrid. Mi cariño para sus seres queridos.
Es insoportable tanto dolor y urge unir fuerzas para luchar contra esta lacra. Es una cuestión de Estado que debe combatir toda la sociedad. #NiUnaMenos https://t.co/E2uK1xVZfV",Wed Dec 04 18:46:59 +0000 2019,1202298268555907077
"Encuentro con el presidente turco,
@RTErdogan, quien ha agradecido a España el mantenimiento de la misión en Turquía en el marco de la Alianza Atlántica. 
Hemos conversado también sobre la oportunidad de fortalecer las relaciones entre ambos países en el terreno económico. #NATO https://t.co/CnGN6dLwBH",Wed Dec 04 17:57:17 +0000 2019,1202285762429014022
"En el nuevo escenario internacional, resulta vital una defensa europea que contribuye a reforzar la seguridad euroatlántica y a proteger mejor a la ciudadanía. Debemos priorizar la agenda Mujer, Paz y Seguridad como motor de transformación de las sociedades. #NATOmeeting https://t.co/JcMG6FKAF0",Wed Dec 04 16:07:44 +0000 2019,1202258191972732928
"Todo lo que hemos conseguido hasta ahora se basa en la capacidad de @NATO para adaptarse a los nuevos retos. Hoy aprobamos iniciativas relevantes para modernizar la organización y seguir avanzando en la seguridad de nuestras sociedades. 
#NATOmeeting #NATOLondon https://t.co/XqDSxWXpox",Wed Dec 04 15:45:16 +0000 2019,1202252536859807744
"Conmemoramos 70 años de la @NATO, en los que la cohesión y el consenso han sido nuestro mejor instrumento para alcanzar la paz, la estabilidad y la seguridad en el área euroatlántica. El compromiso de España con la Seguridad y la Defensa es firme. #WeAreNATO
#NATOmeeting https://t.co/Mv46V7W1qy",Wed Dec 04 15:26:04 +0000 2019,1202247704694415360
"Encuentro fructífero con @katrinjak, PM de Islandia. Reforzaremos nuestra colaboración en acción climática y derechos de las mujeres. España e Islandia, vanguardia en defensa de la igualdad, respaldamos la nueva política de @NATO contra la explotación y abuso sexual.
#OTANSummit https://t.co/ddHnDZvfAl",Wed Dec 04 14:27:11 +0000 2019,1202232885891215361
"Encuentro con @JustinTrudeau en #NATOSummit.
España y Canadá comparten compromiso con el multilateralismo y con la incorporación de la igualdad de género a la política exterior. Impulsemos, desde la unidad, una reflexión sobre cómo la Alianza debe afrontar los retos del futuro. https://t.co/fBfMAyMgTa",Wed Dec 04 14:05:40 +0000 2019,1202227472844111873
"Hoy me he reunido con el PM de los Países Bajos, Mark Rutte. La importancia del liderazgo de la UE en la transición ecológica, con un Green New Deal como nueva estrategia de crecimiento ha sido, junto al Marco Financiero Plurianual,  tema central de nuestro encuentro. #NATOSummit",Wed Dec 04 14:01:02 +0000 2019,1202226305011458048
"Merece la pena escuchar el testimonio de Elsa y sus compañeros de la @FTriangulo en la Asamblea de Extremadura. Seguiremos legislando para ampliar los derechos de las personas LGTBI. Para que nadie, como ella dice, les arrebate la felicidad.
Gracias, Elsa. https://t.co/l0FTLvjXYd",Tue Dec 03 18:14:45 +0000 2019,1201927770974105600
"Hoy #Navarra celebra su día. Una tierra maravillosa y hospitalaria que camina con paso firme hacia un futuro de igualdad y justicia social, de progreso para todos y todas. ¡Felicidades, navarros y navarras! https://t.co/mDYYw0Kebm",Tue Dec 03 16:17:19 +0000 2019,1201898215928422400
"Seamos ambiciosos. Frente a la irresponsabilidad de quienes abandonan sus compromisos, España irá más allá. Tenemos la oportunidad de ser país de referencia en una respuesta a la #EmergenciaClimática coordinada multilateralmente. Mi artículo de hoy ⬇  https://t.co/8A6FFjC8I3",Tue Dec 03 15:19:04 +0000 2019,1201883557834248193
"Cuatro mujeres asesinadas por el machismo criminal. Cuatro asesinatos que elevan a 1032 las víctimas de la #ViolenciaDeGénero en España desde 2003. Nuestro cariño para sus familias. La unidad de los demócratas es imprescindible para combatir la #ViolenciaMachista.
#NiUnPasoAtrás https://t.co/zzmuZ4Vqrg",Tue Dec 03 12:58:03 +0000 2019,1201848067378630661
"Meritxell Batet y Pilar Llop presidirán el Congreso y el Senado en la #XIVLegislatura. Estoy seguro de que ambas desempeñarán una gran labor desde la lealtad institucional, con una apuesta decidida por el diálogo. 
¡Enhorabuena, compañeras! https://t.co/GPzptaanIi",Tue Dec 03 11:36:11 +0000 2019,1201827464303063040
"En la reunión bilateral con el presidente de Ecuador, @Lenin, hemos abordado la situación en su país tras los recientes disturbios. Un conflicto que se ha superado mediante el acuerdo. Seguiremos reforzado los lazos entre ambos países.

#COP25 https://t.co/1fVVGEO7d0",Mon Dec 02 19:01:22 +0000 2019,1201577112303484934
"Esta es la Cumbre de Chile y se celebra en Madrid porque América Latina podrá contar siempre con España. Así se lo he trasladado a los líderes de LATAM presentes en la inauguración de la #COP25, tras escuchar sus necesidades ante la #CrisisClimática. https://t.co/07Z5nFP4SC",Mon Dec 02 18:55:03 +0000 2019,1201575524914610176
"Multilateralismo para abordar la #EmergenciaClimática.
Necesitamos más acción de todos los países para limitar el incremento de 1,5 grados en nuestro planeta. La #COP25 debe ser decisiva para evitar un punto de no retorno. Se trata de un desafío que atañe a toda la humanidad. https://t.co/Z967zS4gDf",Mon Dec 02 17:57:39 +0000 2019,1201561075919003648
"Arranca un año decisivo para abordar la #CrisisClimática. España asume compromisos claros: 

-Alcanzar la neutralidad de carbono en 2050

-Un Pacto Verde, con las personas en el centro de las políticas sobre energía y clima

-Mayor contribución al Fondo Verde y a los #ODS

#COP25 https://t.co/qSCIiNPRXP",Mon Dec 02 17:54:24 +0000 2019,1201560261292900352
"Encuentro con Nancy Pelosi, @SpeakerPelosi, en el marco de la #COP25. La presidenta de la Cámara de Representantes ha destacado el papel de nuestro país en la lucha contra la #CrisisClimática. Le he trasladado la importancia de seguir reforzando los vínculos entre España y EE.UU. https://t.co/sIKv4XL1bU",Mon Dec 02 15:59:20 +0000 2019,1201531300458516487
"Hagamos de la #COP25 un hito en la lucha contra la #EmergenciaClimática. Hagamos de la política un multiplicador ético para sumar voluntades y vencer convenciendo. Actuemos guiados por la sostenibilidad, la igualdad de género y la justicia social. Lideremos con el ejemplo. https://t.co/HjhuTpOost",Mon Dec 02 13:45:35 +0000 2019,1201497641600847873
"Además de urgente, la transición ecológica debe ser justa, debe ser la palanca de cambio contra la desigualdad, debe implicar justicia y equidad. Nuestro país ha asumido ese mandato y está resuelto a actuar. El progreso, si no es sostenible, no merece ser llamado progreso. #COP25 https://t.co/R2Yac2Rb6D",Mon Dec 02 13:44:08 +0000 2019,1201497277694664704
Alcanzar la neutralidad climática en 2050 requiere audacia desde un nuevo multilateralismo. Es #TiempoDeActuar con contribuciones nacionales más ambiciosas. España está lista para dar ese paso. Incrementaremos el ritmo de reducción de emisiones comprometido para 2030. #COP25 https://t.co/6eAGVJ4Xd3,Mon Dec 02 13:42:27 +0000 2019,1201496853742837760
"España mantendrá su posición movilizadora en la #UE para aumentar el compromiso de reducción de gases de efecto invernadero, especialmente el de los grandes emisores. Así lo he reiterado en el encuentro mantenido con @antonioguterres en la #COP25.
#TiempoDeActuar https://t.co/7ZobMSZXv2",Mon Dec 02 13:35:34 +0000 2019,1201495120572559361
"La jornada de hoy en la #COP25 ha sido también una oportunidad para intercambiar posiciones en materia de #EmergenciaClimática con el PM francés, @EPhilippePM. También hemos abordado el futuro convenio de doble nacionalidad entre ambos países, el primero de este tipo en la #UE. https://t.co/y8SIC66pZt",Mon Dec 02 13:33:13 +0000 2019,1201494532401053696
"España acoge la #COP25 con la  ambición y liderazgo de la #UE. Esta Cumbre marcará el inicio de la movilización y acciones concretas de los Gobiernos para elevar la reducción de emisiones. Es #TiempoDeActuar.

Primer encuentro con los nuevos líderes de las instituciones europeas. https://t.co/1SZU61ksF1",Mon Dec 02 08:38:00 +0000 2019,1201420236882358272
"Mañana empieza en Madrid la #COP25, una reunión decisiva para elevar la ambición en la lucha global contra la emergencia climática.

Por responsabilidad con las generaciones presentes y futuras. La acción sobre el cambio climático no puede esperar.

¡ #YA es #TiempoDeActuar 🌍! https://t.co/lGmQY6Uzvq",Sun Dec 01 09:51:00 +0000 2019,1201076219174891521
"La #COP25 es clave para lograr una acción climática más ambiciosa, justa e inclusiva.
Visitamos las instalaciones de la Cumbre, que son una muestra más del compromiso de España en la lucha contra la #EmergenciaClimática. ¡Gracias a quienes lo habéis hecho posible!
#TiempoDeActuar https://t.co/uYPNSsUXGS",Sat Nov 30 12:33:26 +0000 2019,1200754710787117056
"Pendientes de las noticias que nos llegan sobre el ataque en el Puente de Londres. Mi cariño y solidaridad con las víctimas y sus familiares. Seguiremos firmes frente al fanatismo, unidos en la lucha contra cualquier acto terrorista. https://t.co/QAtVPZcA6i",Fri Nov 29 18:55:38 +0000 2019,1200488505262120961
"Necesitamos una #FP moderna, capaz de dar respuesta a las nuevas necesidades del mercado laboral. Aprobamos en #CMin la creación de 5 títulos de Enseñanzas Deportivas y un nuevo título de Técnico Superior en Termalismo y Bienestar de #FormaciónProfesional.
https://t.co/YNBWhLecRu https://t.co/PLRIpJsVNw",Fri Nov 29 14:59:31 +0000 2019,1200429085878607881
"El @Europarl_ES declara la #EmergenciaClimática. 
Estamos en un momento clave. Actuemos ya, con ambición. Impulsemos en la #COP25 una acción climática global justa e inclusiva. Gobiernos y ciudadanía debemos trabajar juntos para garantizar el futuro del planeta y de la humanidad. https://t.co/mIMxJvqPOf",Thu Nov 28 13:39:42 +0000 2019,1200046609205223428
"Reunido con el ministro de Asuntos Exteriores de #Marruecos, Nasser Bourita. La migración y la importancia de la cooperación bilateral en esta materia, así como las relaciones con la UE o nuestros recientes acuerdos en materia agrícola y pesquera han sido los ejes del encuentro. https://t.co/WZjqoIoARL",Wed Nov 27 17:01:43 +0000 2019,1199735062142627841
"Respaldo del @Europarl_ES a la nueva Comisión Europea, con @JosepBorrellF como Alto Representante. Una magnífica noticia.
Enhorabuena a todos y todas. Y la mejor de las suertes en esta etapa en la que debemos caminar hacia una Europa más social, más fuerte, más verde y feminista. https://t.co/QA4eBo70Bw",Wed Nov 27 14:12:58 +0000 2019,1199692596945326080
"Compartimos nuestro dolor con Francia ante este trágico accidente que ha acabado con la vida de trece militares en Mali. Nuestro reconocimiento a todos los que luchan contra el terrorismo, por la paz y la seguridad.

Nos sincères condoléances à leurs familles et proches. https://t.co/fNIaLR7ekC",Tue Nov 26 09:45:02 +0000 2019,1199262778411962375
"España debe alcanzar la neutralidad de carbono en 2050. Solo lo lograremos si actuamos ya y somos ambiciosos. Conseguir que el mayor número de países se sume a este compromiso es nuestro objetivo para la #COP25, que arranca en Madrid la próxima semana. https://t.co/A8YZo5ZPht",Mon Nov 25 15:30:15 +0000 2019,1198987268939243526
"Itziar teje mariposas para recordar a Nerea y Martina, sus hijas de 6 y 3 años asesinadas por su padre. Él amenazó con matarlas. Itziar denunció pero algo falló. Debemos volcarnos en la protección a las mujeres y menores víctimas de #ViolenciaMachista.
No podemos volver a fallar. https://t.co/hcpXgUaQUa https://t.co/4azQ39W1G5",Mon Nov 25 13:27:09 +0000 2019,1198956287305961474
"Se llamaba Sara, tenía 26 años y su pareja la ha asesinado en Santa Cruz de Tenerife. El machismo vuelve a matar, la realidad golpea también hoy, en el #DíacontralaViolenciadeGénero. Nuestro cariño para su familia. Actuemos unidos, unidas. Las están asesinando.

#VivasyLibres25N",Mon Nov 25 10:15:03 +0000 2019,1198907943841873920
"Las oprimen, golpean y matan por ser mujeres. La democracia no puede permitir ni un paso atrás en la lucha contra la mayor negación de derechos y libertades de la mitad de la población.

Unidad para erradicar la #ViolenciaMachista.

#VivasYLibres25N
#DíacontralaViolenciadeGénero https://t.co/8DhhWotnHd",Mon Nov 25 07:27:08 +0000 2019,1198865685813907458
"¡Grandes, muy GRANDES! Nadal, Bautista, Carreño, Granollers, Feliciano, con Bruguera al mando y el público incombustible de la Caja Mágica.
Habéis vuelto a levantarnos del asiento. Sois parte de la historia del tenis. Sexta ensaladera para España🇪🇦💪 ¡FELICIDADES!
#DavisCupFinals https://t.co/A2yQAeJqUW",Sun Nov 24 20:20:41 +0000 2019,1198697971421995008
"¡Bravo, Melani! Estupenda actuación y magnífico tu mensaje en #EurovisionJunior.

Los estudios revelan que en 2050 habrá más plástico que peces. La protección de mares y océanos y la gestión sostenible de sus recursos están ligadas a nuestro futuro

¡Actuemos YA! #TimeforAction https://t.co/XmVmZCvaHL",Sun Nov 24 17:28:18 +0000 2019,1198654590620700673
"Respaldo rotundo de la militancia socialista al acuerdo del @PSOE con UP. Un apoyo decisivo para un Gobierno de progreso que siga haciendo avanzar a nuestro país con políticas en beneficio de las mayorías. Gracias a quienes, con vuestro voto, habéis participado en la consulta. 🌹 https://t.co/IxNVAC8T3O",Sat Nov 23 21:49:10 +0000 2019,1198357850982174727
"Acabo de votar en mi agrupación. He votado para que España tenga un Gobierno estable y progresista, para ganar el futuro y seguir construyendo un país que no deje a nadie atrás.
Hoy, la militancia del @PSOE decide. #ParticipaPSOE https://t.co/kiC8lrGq36",Sat Nov 23 10:38:35 +0000 2019,1198189091357184000
"Una maestra en las tablas y en la pantalla, toda una vida entregada a su amada profesión pero sobre todo a los suyos. Nos deja una gran mujer, una decana de las actrices, Asunción Balaguer. 
Todo el cariño a sus familiares y amigos.
https://t.co/BItzGf91Ll https://t.co/dy8ZIvAuDf",Sat Nov 23 09:07:44 +0000 2019,1198166227845292032
"Aprobamos el I Plan Estratégico de #FormaciónProfesional. 
Transformar y modernizar la #FP es prioridad para el Gobierno por su potencial para mejorar la cualificación profesional y su impacto positivo en el modelo productivo, la economía y el empleo.
https://t.co/dEa01CCm9h https://t.co/QRrvIRILSl",Fri Nov 22 19:07:00 +0000 2019,1197954649707499520
"La #CrisisClimática nos exige acciones urgentes. Hoy aprobamos un RDL para seguir avanzando en una transición energética justa e inclusiva, impulsando las energías limpias y generando oportunidades en las zonas afectadas por cierres de centrales térmicas.
https://t.co/BBgOM2uMBE https://t.co/sCXwxow7id",Fri Nov 22 17:09:06 +0000 2019,1197924982615085064
"La violencia machista es la peor manifestación de la desigualdad entre hombres y mujeres. Genera miedo, discriminación, inseguridad. Limita las oportunidades y la libertad de las mujeres. Hoy aprobamos una declaración institucional por el #25N.
Os queremos vivas, libres, iguales. https://t.co/zDUtGfU18W",Fri Nov 22 15:50:32 +0000 2019,1197905211131600897
"Tenemos la oportunidad de construir un Gobierno progresista para mejorar la vida de las mayorías y construir un país más justo. Como militante, tienes en tu mano la decisión de ratificar el acuerdo con Unidas Podemos, para el que pido tu voto favorable el 23N. #ParticipaPSOE https://t.co/uKV1mGgmYU",Thu Nov 21 13:07:36 +0000 2019,1197501819733368832
"Hace 19 años, ETA asesinaba a Ernest Lluch. En nuestra memoria, siempre, un demócrata ejemplar que trabajó sin descanso por la justicia social, que hizo posible la universalización de la sanidad pública en España y defendió hasta el final la convivencia, la libertad y el diálogo. https://t.co/QTcexgDZZD",Thu Nov 21 10:29:14 +0000 2019,1197461964622123008
"Las lesiones, obstáculos e imprevistos hacen que se valore todavía más la talla de quienes los afrontan. Siempre has sido gigante, ejemplo de superación y entrega. Mucho ánimo en tu recuperación, Pau Gasol. Te veremos pronto en la cancha y disfrutaremos con tu juego. Un abrazo. https://t.co/W6xp1JWkV4",Thu Nov 21 07:29:49 +0000 2019,1197416812985700352
"España puede dar en la próxima década un salto cualitativo en sus dimensiones socioeconómicas liderando la transformación digital de la economía, la transición ecológica y la igualdad de género. Ya hemos dado pasos firmes y se dan condiciones para seguir avanzando. #EFBsummit2019 https://t.co/EJogK9JqEt",Wed Nov 20 14:21:49 +0000 2019,1197158105643200514
"El compromiso de disciplina fiscal con Bruselas será parte de los ejes del nuevo Gobierno. Pero una gestión responsable de la economía no es incompatible con la cohesión social. Trabajaremos para seguir creando empleo, combatiendo la precariedad y la desigualdad. #EFBsummit2019 https://t.co/0vljd9j8Co",Wed Nov 20 14:08:04 +0000 2019,1197154644704804864
"España necesita estabilidad institucional y la necesita cuanto antes. La estabilidad será, junto con el acuerdo sobre las transformaciones que España necesita, el pilar sobre el que asentar el trabajo de la próxima legislatura. Es la voluntad del nuevo Gobierno. #EFBsummit2019 https://t.co/mNaHNqdLJb",Wed Nov 20 13:43:15 +0000 2019,1197148399373557760
"Gracias a todos los profesionales que durante estos dos siglos han cuidado de nuestro patrimonio cultural y artístico, haciendo del Museo del Prado una de las pinacotecas más importantes del mundo. Un espacio para contemplar, deleitarse y evadirse.

#YoamoelPrado #Prado200 https://t.co/ilUec7WQXB",Tue Nov 19 08:28:46 +0000 2019,1196706872583229441
"Jornada de motociclismo para recordar y celebrar. Marc Márquez continúa por la senda del triunfo, con 12 victorias y 18 podios, y Jorge Lorenzo se despide de los circuitos. Dos campeones nos emocionan en el mismo día sobre el asfalto del Ricardo Tormo.
#ThankYouJorge #ValenciaGP https://t.co/zCEYxLkyqS",Sun Nov 17 14:36:32 +0000 2019,1196074648192069632
"El @PSOE es el único partido que puede romper el ciclo de elecciones y bloqueos que arrastramos desde hace cuatro años. Tenemos la oportunidad avanzar en una senda progresista.

Como militante, tienes en tu mano la decisión de ratificar el acuerdo con UP.
https://t.co/5Rr5jl4AeC https://t.co/cnPXoDSKud",Sat Nov 16 10:45:59 +0000 2019,1195654239718137856
"Dice Joan Margarit que la poesía es la más exacta de las letras. Hoy, por su poesía, recibe el más alto galardón de nuestras letras. Poeta en catalán y en español, el Premio Cervantes reconoce su obra como expresión de nuestra cultura y nuestra diversidad. https://t.co/0DD6D489iH",Thu Nov 14 15:29:53 +0000 2019,1195000910675632138
"Reunido con @CharlesMichel, presidente electo del @EUCouncil. La #COP25, el Brexit o la necesidad de un presupuesto europeo que refuerce la PAC o las políticas de cohesión y aborde nuevos retos como la emergencia climática son algunos de los temas que han centrado este encuentro. https://t.co/xYSixXpbXy",Thu Nov 14 14:20:54 +0000 2019,1194983547280515073
Este acuerdo nace con el propósito de abrirse a otras fuerzas políticas para hacer viable una mayoría parlamentaria estable y sostenida. Hoy el @PSOE abre una ronda con el resto de grupos parlamentarios para construir esa mayoría. Apelamos a su responsabilidad y generosidad. https://t.co/9w9xZlga9M,Tue Nov 12 14:28:06 +0000 2019,1194260585149583361
"El nuevo Gobierno será rotundamente progresista. Estará integrado por fuerzas progresistas y basado en la cohesión, la lealtad, la solidaridad gubernamental y la voluntad de aprovechar los perfiles más idóneos para trabajar por el progreso de España y de toda la ciudadanía. https://t.co/pJIfQldtsy",Tue Nov 12 14:15:46 +0000 2019,1194257482815877120
Los españoles y españolas han hablado. Nos corresponde a los dirigentes traducir su voluntad y superar el bloqueo. Hoy el @PSOE y Unidas Podemos firmamos un preacuerdo para conformar un Gobierno progresista de coalición. https://t.co/XDPLfLkOkQ,Tue Nov 12 14:04:58 +0000 2019,1194254761714995201
"Ya reunido con los compañeros y compañeras de la Comisión Ejecutiva Federal del @PSOE en Ferraz. Comenzamos a trabajar, con empeño y responsabilidad, para conseguir un Gobierno progresista y desbloquear la situación política del país. https://t.co/gUb07DTT8H",Mon Nov 11 10:56:59 +0000 2019,1193845069264101376
"Nuestro proyecto es formar un Gobierno progresista estable liderado por el @PSOE para hacer políticas en beneficio de la mayoría. Todos los partidos debemos actuar con generosidad y responsabilidad a partir de mañana para desbloquear el país. 
#EleccionesGenerales10N #10NPSOE https://t.co/TR6cVUSQ6K",Sun Nov 10 23:18:16 +0000 2019,1193669228903239686
Quiero agradecer de corazón a los españoles y españolas que participan cada vez que son convocados a las urnas y a los millones de personas que hoy han vuelto a confiar en el @PSOE. Hemos ganado las #EleccionesGenerales10N. #10NPSOE https://t.co/mI3GHnc29W,Sun Nov 10 23:16:36 +0000 2019,1193668810294910977
"El voto de hoy decidirá la España de mañana. La democracia nos une como país, nos hace mejores. Participemos, expresemos nuestra voluntad con nuestro voto, hagamos más fuerte la democracia.
#EleccionesGenerales10N https://t.co/ojRX9aLrA9",Sun Nov 10 09:50:47 +0000 2019,1193466018875752448
"El domingo los demócratas tenemos una herramienta infalible para frenar a la ultraderecha, para romper el bloqueo y seguir ampliando derechos y libertades, para ganar el futuro y hacer que España avance sin dejar a nadie atrás. Nuestro voto.
El #10N,#VOTAPSOE. #VotaConElCorazón❤️ https://t.co/zN9fWcwu5F",Fri Nov 08 22:51:32 +0000 2019,1192937725621657606
